,date,is_belong_us,name,nr,patnr,refnr
9,July 2005,Y,Zou et al.,nr12,2005/0156715,10
10,October 2006,Y,Othmer et al.,nr12,2006/0236257,11
11,July 2007,Y,Halcrow,nr12,2007/0167174,12
12,May 2008,Y,Carani et al.,nr12,2008/0125965,13
13,June 2008,Y,Altman et al.,nr12,2008/0133336,14
14,February 2010,Y,Monday et al.,nr12,2010/0042940,15
15,October 2010,Y,Koen et al.,nr12,2010/0253508,16
16,January 2012,Y,Sheha et al.,nr12,2012/0001928,17
17,May 2012,Y,Zheng,nr12,2012/0115453,18
18,August 2012,Y,Agulnek,nr12,2012/0197690,19
19,August 2012,Y,Davis et al.,nr12,2012/0214515,20
20,September 2012,Y,Tholkes et al.,nr12,2012/0225672,21
21,November 2012,Y,Evans,nr12,2012/0284093,22
22,December 2012,Y,Grosman et al.,nr12,2012/0307645,23
23,April 2013,Y,Shutter,nr12,2013/0091016,24
24,April 2013,Y,Sorden et al.,nr12,2013/0091452,25
25,April 2013,Y,Sheshadri et al.,nr12,2013/0099977,26
26,May 2013,Y,Busch,nr12,2013/0130719,27
27,August 2013,Y,Burkett,nr12,2013/0218595,28
28,October 2013,Y,"Zeto, III et al.",nr12,2013/0275221,29
29,November 2013,Y,Hunter et al.,nr12,2013/0297422,30
30,April 2014,Y,Yoo,nr12,2014/0113661,31
31,January 2015,Y,Edge,nr12,2015/0024782,32
32,November 2015,Y,Zhang,nr12,2015/0331583,33
33,December 2015,Y,Civanlar et al.,nr12,2015/0356607,34
34,December 2015,Y,Farrell,nr12,2015/0365787,35
35,Sep 2012,N,AU,nr12,2012100971,1001
36,Jun 2013,N,WO,nr12,2013086028,1002
37,Feb 2014,N,WO,nr12,2014032039,1003
0,February 2000,Y,Satarasinghe,nr8,6026301,1
1,March 2009,Y,Tucker,nr8,7504547,2
2,February 2016,Y,Palanki et al.,nr8,9265049,3
3,January 2018,Y,Jung et al.,nr8,9867103,4
4,March 2006,Y,Turner et al.,nr8,2006/0042734,5
5,February 2010,Y,Deshpande,nr8,2010/0048217,6
6,November 2010,Y,Choi-Grogan et al.,nr8,2010/0278141,7
7,May 2012,Y,Jung et al.,nr8,2012/0106516,8
8,June 2013,Y,Yoo et al.,nr8,2013/0157643,9
9,February 2014,Y,Henry et al.,nr8,2014/0045505,10
10,August 2014,Y,Josiam et al.,nr8,2014/0241242,11
11,March 2015,Y,Seo,nr8,2015/0071206,12
12,May 2007,N,CN,nr8,2904127,1001
13,May 2012,N,CN,nr8,202217318,1002
14,Jan 2012,N,JP,nr8,2012010065,1003
15,Oct 2013,N,WO,nr8,2013151327,1004
